kepoi_name,kepler_name,kepid,ra,dec,koi_period,koi_prad,koi_teq,koi_steff,koi_srad,koi_kepmag,koi_disposition
"K07711.01",,4940203,295.984040,40.043621,302.779824,1.31,246.0,5734.00,0.7970,14.160,"CANDIDATE"
"K01613.02",,6268648,285.476590,41.632717,94.094392,0.9,486.0,6099.00,1.3080,11.049,"CANDIDATE"
"K03367.01",,10935993,298.191620,48.396259,25.3736543,1.88,653.0,6195.00,0.9660,15.056,"CANDIDATE"
"K03368.01",,5257082,285.412660,40.425770,10.08535311,1.45,843.0,5947.00,0.9450,14.889,"CANDIDATE"
"K03434.01",,8628665,293.345210,44.700642,10.2856373,1.24,864.0,5841.00,1.0600,14.951,"CANDIDATE"
"K07746.01",,5881307,293.380490,41.151901,393.95608,2.27,263.0,6217.00,0.9890,15.622,"CANDIDATE"
"K03437.02",,4645174,288.883330,39.744560,34.7496038,3.51,702.0,5849.00,1.6010,14.606,"CANDIDATE"
"K07764.01",,6124137,292.010500,41.467098,227.83457,2.83,449.0,6004.00,2.1930,13.845,"CANDIDATE"
"K03370.01",,11657614,289.438960,49.731220,24.352541,1.52,498.0,4891.00,0.8050,14.779,"CANDIDATE"
"K07735.01",,5687986,285.369930,40.907429,382.30306,4.05,400.0,5993.00,2.5900,13.104,"CANDIDATE"
"K03371.01",,11125797,285.313810,48.725250,58.1263775,1.32,404.0,5413.00,0.8200,13.747,"CANDIDATE"
"K01627.03",,6543893,297.583130,41.952431,3.80675878,2.75,1574.0,6068.00,1.7970,15.767,"CANDIDATE"
"K03374.02",,6705026,295.409790,42.150829,34.1086562,1.95,739.0,6144.00,1.6680,14.440,"CANDIDATE"
"K03377.01",,5553959,297.050660,40.717419,10.0100312,0.99,506.0,4338.00,0.5080,15.318,"CANDIDATE"
"K03444.01",,5384713,297.429200,40.561909,12.67143692,0.76,404.0,3705.00,0.5290,13.693,"CANDIDATE"
